Gene	GeneType
EGR1	Classical
SMARCD3	Classical
CRE85	Classical
ID1	Classical
TGIF	Classical
EGR2	Classical
NFE2	Classical
CITED4	Classical
CEBPD	Classical
HIF1A	Classical
CREG1	Classical
NFIL3	Classical
SAP30	Classical
RUNX2	Classical
BCL3	Classical
XBP1	Classical
GAS7	Classical
EIF4G3	Classical
JARID2	Classical
FOSL2	Classical
FOS	Classical
TRPS1	Classical
ATBF1	Classical
TCEAL1	Classical
EIF2C4	Classical
MEF2D	Classical
SERTAD1	Classical
LASS2	Classical
ZNF281	Classical
MAFF	Classical
HDAC9	Classical
RUNX1	Classical
MXD1	Classical
FOSB	Classical
HDAC4	Classical
ATF4	Classical
ATF3	Classical
DDIT3	Classical
MAFG	Classical
EIF5	Classical
SIAH2	Classical
JUN	Classical
EAF1	Classical
HLX1	Classical
HMGB2	Classical
MSL3L1	Classical
BHLHB2	Classical
KLF10	Classical
MYB	Classical
ZFP36L1	Classical
BATF	Classical
CREB3L2	Classical
TRERF1	Classical
MSRB2	Classical
ETV3	Classical
RELB	Classical
TGIF2	Classical
CSDA	Classical
SQSTM1	Classical
NFE2L3	Classical
PRDM1	Intemediate
SMAD7	Intemediate
ATF5	Intemediate
MAGED1	Intemediate
IRF1	Intemediate
YWHAH	Intemediate
E2F2	Intemediate
HES4	Nonclassical
TCF7L2	Nonclassical
KLF12	Nonclassical
FOXO1A	Nonclassical
DRAP1	Nonclassical
NFATC1	Nonclassical
PLAGL2	Nonclassical
NOTCH4	Nonclassical
MAF	Nonclassical
RUNX3	Nonclassical
RYBP	Nonclassical
LRRF1P1	Nonclassical
PPARGC1B	Nonclassical
KLF2	Nonclassical
POU2F2	Nonclassical
SOX15	Nonclassical
ELF4	Nonclassical
SAMD4A	Nonclassical
CCRN4L	Nonclassical
ETS1	Nonclassical
ZNF217	Nonclassical
MBD2	Nonclassical
ARID5B	Nonclassical
VAV1	Nonclassical
HIVEP1	Nonclassical
SP140	Nonclassical
EAF2	Nonclassical
MTPN	Nonclassical
HES1	Nonclassical
CEBPA	Nonclassical
HSBP1	Nonclassical
CTCF	Nonclassical
CBL	Nonclassical
HDAC6	Nonclassical
TSC22D3	Nonclassical
RBBP7	Nonclassical
CBFA2T3	Nonclassical
PCGF2	Nonclassical
SPI1	Nonclassical
CTBP2	Nonclassical
MXD3	Nonclassical
NACA	Nonclassical
E2F1	Nonclassical
CCNE1	Nonclassical
NCOA3	Nonclassical
NFE2L1	Nonclassical
GFI1B	Nonclassical
CITED2	Nonclassical
NFKBIZ	Nonclassical
VENTX	Nonclassical
